parentCompany,businessName,businessType,expires,street,city,state,zipCode
#1 MAX SUCCESS BUSINESS INC,DENVER TED'S,Hotel & Restaurant (city), 12/25/2015,1308 PEARL ST,Denver,CO,80203
0315DK INC,UONAE ROOM KARAOKE,Tavern (city), 09/18/2015,2630 SOUTH PARKER RD  UNIT C,Aurora,CO,80014
1035B LLC,PEARL STREET STEAK ROOM,Tavern (city), 05/12/2013,1035 PEARL ST STE 101B,BOULDER,CO,803025130
1037 BROADWAY INC,BAR STANDARD / MO'S / MILK,Tavern (city), 09/30/2015,1037 BROADWAY UNIT A,Denver,CO,802032707
1047 INC,OLE,Beer & Wine (city), 01/29/2016,1043 BROADWAY,Denver,CO,80203
1055 BROADWAY INC,LIVING ROOM THE,Tavern (city), 08/10/2016,1055 BROADWAY,DENVER,CO,802032707
1062 DELAWARE LLC,GATHER/GALVANIZE 1.O,Hotel & Restaurant (city), 01/14/2016,1064 DELAWARE ST,Denver,CO,80204
1071 LLC,DICKEYS BARBECUE PIT,Beer & Wine (city), 01/15/2016,6628 W 10TH ST UNIT 102,Greeley,CO,80634
10710 WESTMINSTER BLVD TOP ONE INC,BENDER'S BAR & GRILL II,Optional Premises (city), 07/02/2015,CHRISTOPHER FIELDS  5875 W. 104TH AVE,Westminster,CO,80020
1080 INC,NORTH MOOR LIQUORS,Liquor Store (city), 07/11/2016,1080 E 10TH AVE,Broomfield,CO,800201408
10800 CORPORATION,TIPPERS INN,Tavern (county), 06/09/2016,6050 W. 55TH PL,Arvada,CO,80002
10900 LLC,WAGON WHEEL RESTAURANT + MOTEL,Hotel & Restaurant (county), 07/15/2016,10900 HWY 65,Mesa,CO,81643
10G INC,WAYWARD WIND LIQUOR,Liquor Store (county), 11/03/2015,14424 HIGHWAY 34,Fort Morgan,CO,80701
10TH HOLE BAR & GRILL LLC,10TH HOLE BAR & GRILL,Hotel & Restaurant (city), 07/08/2016,91 PLAY PARK HILL,Rocky Ford,CO,81067
10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC,10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC,Manufacturer (distillery & rectifier), 06/13/2016,500 TRAIL GULCH ROAD UNIT A,Gypsum,CO,81637
10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC,10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC,Wholesale (vinous & spirituous), 06/13/2016,500 TRAIL GULCH ROAD UNIT A,Gypsum,CO,81637
11 MILE GENERAL INC,11 MILE GENERAL STORE,Liquor Store (county), 03/11/2016,5790 COUNTY RD 92,LAKE GEORGE,CO,808279203
1111 TOWER LLC,FOUR SEASONS HOTEL DENVER,Hotel & Restaurant (city), 09/21/2015,1111 14TH ST,DENVER,CO,80202
1150 SO GALENA ST INC,PARKWAY BAR AND GRILL,Tavern (city), 11/29/2015,22775 E AURORA PKWY UNIT C7-C8,AURORA,CO,800166089
11570 CORP,A HUNT CLUB,Tavern (county), 05/26/2013,400 LINK LN,FT COLLINS,CO,80524
1196 INC,CLUB X INC,Tavern (city), 10/02/2015,1196 S SANTA FE DR,Denver,CO,802233129
1200 SOUTH COFFEE LLC,CAFE VINO,Hotel & Restaurant (city), 05/07/2016,"1200 S COLLEGE AVE,  STE 207",Fort Collins,CO,805253749
1-26 INC AND 7- ELEVEN INC,7-ELEVEN STORE 25052A,3.2% Beer Off Premises (city), 12/28/2015,890 S FEDERAL BLVD,DENVER,CO,802193413
12TH STREET LIQUORS LLC,12TH STREET LIQUORS,Liquor Store (city), 01/26/2016,1205 E BRIDGE ST,Brighton,CO,80601
13 PHOTOGRAPHY INC,13 PHOTOGRAPHY INC,Art Gallery Permit, 08/31/2012,354 MAIN ST,GRAND JUNCTION,CO,815012413
1333 WEST ALAMEDA AVE INC,GREAT AMERICAN BEER STORE THE,Liquor Store (city), 06/12/2016,1333 W ALAMEDA AVE,Denver,CO,802232040
"13TH STREET THE HILL, LLC",TACO JUNKY,Hotel & Restaurant (city), 04/07/2016,1149 13TH STREET,Boulder,CO,80302
1400 EAST LLC & OBSPORTS GOLF MGMT FH,THE FOX HILL CLUB,Hotel & Restaurant / Optional (city), 10/30/2015,1400 E HIGHWAY 119,Longmont,CO,80502
14011 INC.,QUINCY PLAZA LIQUORS,Liquor Store (county), 05/08/2016,"14011 W QUINCY AVE, SUITE H&I",Morrison,CO,80465
1410 CORPORATION,SPILL,Hotel & Restaurant (city), 03/09/2016,1410 MARKET ST,DENVER,CO,802021707
1431 BETH & JEN LLC,RIOJA,Hotel & Restaurant (city), 09/15/2015,1431 LARIMER,Denver,CO,802021704
"1434 BLAKE STREET, LLC",SOCIETY: SPORTS + SPIRITS,Hotel & Restaurant (city), 12/03/2015,1434 BLAKE ST,Denver,CO,80202
1439 RESTUARANT GROUP LLC,KAOS PIZZERIA,Hotel & Restaurant (city), 06/30/2015,1439 S PEARL ST,Denver,CO,802102226
146 VAN GORDON INC,BALDORIA ON THE WATER,Hotel & Restaurant (city), 01/22/2016,146 VAN GORDON ST,Lakewood,CO,80228
1480 CAFE LLC,5280 STEAKHOUSE BIN 1480 PICANTE MEX RES,Hotel & Restaurant (city), 01/25/2016,1020 15TH ST,DENVER,CO,802022300
1520 ROYAL LLC,CANON CITY MUGS,Hotel & Restaurant (city), 04/05/2016,"1520 ROYAL GORGE BLVD STE A,B,C",CANON CITY,CO,812122431
1543 CHAMPA LLC,1543 CHAMPA ST,Hotel & Restaurant (city), 03/27/2016,1543 CHAMPA ST,Denver,CO,802022900
"1575 BOULDER STREET, LLC",LOLA,Hotel & Restaurant (city), 12/15/2015,1575 BOULDER ST UNIT C,Denver,CO,802116414
15C CLUB INC,15C CLUB INC,Tavern (city), 12/18/2015,15 E BIJOU STREET UNIT A-D,Colorado Springs,CO,809031344
15TH STREET DRINK & DINE LLC,"DRINK, TRYST LOUNGE & LA MARK15 THE",Hotel & Restaurant (city), 11/23/2015,1320 15TH ST,DENVER,CO,802021606
1605 LLP,GQ BARBER LOUNGE,Tavern (city), 01/29/2016,1605 17TH ST,Denver,CO,80202
1630 MARKET STREET LLC,1630 MARKET STREET,Hotel & Restaurant (city), 01/22/2016,1630 MARKET STREET,Denver,CO,80202
1700 HUMBOLDT LLC,HUMBOLDT FARM FISH WINE,Hotel & Restaurant (city), 01/16/2016,1700 HUMBOLDT ST,Denver,CO,80218
"1724 W. 92ND AVE, LLC",EL INPERIO,Tavern (city), 11/18/2015,1712 W. 92ND AVE,Federal Heights,CO,80260
1741 B STREET LIQUORS INC,1741 B STREET LIQUOR,Liquor Store (county), 12/25/2015,1741 B STREET,Colorado Springs,CO,809065365
17TH AVENUE WINE & LIQUORS LLC,17 AVENUE WINE & LIQUORS LLC,Liquor Store (city), 06/15/2016,2867 17 AVE,Greeley,CO,80631
1920 DENVER INC,BROTHERS BAR & GRILL,Hotel & Restaurant (city), 03/07/2016,1920 MARKET ST,Denver,CO,802021420
1933 BREWING COMPANY LLC,1933 BREWING COMPANY,Manufacturer (brewery), 10/24/2015,4025 S MASON ST UNIT C,Fort Collins,CO,80525
1933 BREWING COMPANY LLC,1933 BREWING COMPANY,Wholesale Beer (malt liquor), 10/24/2015,4025 S MASON ST UNIT C,Fort Collins,CO,80525
1950 S HOLLY ST LLC,ESTERS,Tavern (city), 01/14/2016,1950 S HOLLY ST UNIT 9-10,Denver,CO,80222
1967 INC,BUSHWACKERS SALOON,Tavern (city), 08/27/2015,1967 S BROADWAY,Denver,CO,802104004
1ST AVENUE INC,101 ASIAN FUSION,Hotel & Restaurant (city), 02/20/2016,101 MADISON STREET,Denver,CO,802065404
2 DOG RANGE LLC,COOLEYS TAVERN,Hotel & Restaurant (county), 07/16/2015,105 OAK RIDGE DR,Gypsum,CO,81637
2 SOUTH LTD,2 SOUTH,Hotel & Restaurant (city), 01/22/2016,2 S 25TH ST,Colorado Springs,CO,80904
2000 MIDWAY INC,NIGHT OWL LOUNGE,Tavern (city), 07/19/2016,2000 W MIDWAY BLVD,Broomfield,CO,800201654
2001 FAMILY CORP,THIRSTY'S PUB,Tavern (city), 01/18/2016,1294 E 104TH,Thornton,CO,802294304
2004 RESTAURANT LLC,HACIENDA COLORADO,Hotel & Restaurant (city), 02/21/2016,4100 E MEXICO #G,Denver,CO,802224100
2041 LARIMER STREET LLC,GIN MILL THE,Tavern (city), 11/26/2015,2041 LARIMER ST,Denver,CO,80205
2048 LARIMER LLC,ARMOURY THE,Hotel & Restaurant (city), 04/02/2016,2048 LARIMER ST,Denver,CO,80205
212 GALLERY LLC,212 GALLERY,Art Gallery Permit, 06/17/2015,525 EAST COOPER AVE SPACE 103,Aspen,CO,81611
22 CULINARY DELIGHTS LLC,SWEET FANNY ADAMS RESTAURANT,Tavern (county), 01/08/2016,57922 US HWY 285,Bailey,CO,80421
2200 LLC,2200 LLC,Tavern (city), 07/30/2015,821 22ND ST,Denver,CO,802052876
222 NORTH TEJON CORP,JOSE MULDOONS,Hotel & Restaurant (city), 12/31/2015,222 N TEJON,Colorado Springs,CO,809031314
2415 BLAKE LICENSE LLC,2415 BLAKE LICENSE,Hotel & Restaurant (city), 08/20/2015,2401 BLAKE STREET,Denver,CO,80205
2620  W BELLEVIEW LLC,PINT ROOM THE,Hotel & Restaurant (city), 12/01/2015,2620 W BELLEVIEW AVE,Littleton,CO,80123
2620 WALNUT BAR LLC,CASSELMAN'S BAR & VENUE,Hotel & Restaurant (city), 01/22/2016,2620 WALNUT ST,Denver,CO,802052231
2700 & ARAPAHOE LLC,SAVOY AT CURTIS PARK,Tavern (city), 02/19/2016,2700 ARAPAHOE UNIT D,Denver,CO,80205
2700 SB LLC,COLORE ITALIAN RESTAURANT & PIZZERIA,Hotel & Restaurant (city), 02/22/2016,2700 S BROADWAY UNIT A,ENGLEWOOD,CO,801131523
"285 LANDING, INC.",285 LANDING ASIAN BISTRO,Hotel & Restaurant (city), 10/21/2015,3650 S. WADSWORTH BLVD,Lakewood,CO,80235
28TH STREET WINE PARTNERS LLC,BOULDER WINE & SPIRITS,Liquor Store (city), 08/17/2016,3325 28TH ST,Boulder,CO,803021410
291 LLC,DISTILLERY 291 LLC,Manufacturer (distillery & rectifier), 06/14/2016,1647 S TEJON ST,Colorado Springs,CO,80906
291 LLC,DISTILLERY 291 LLC,Wholesale (vinous & spirituous), 06/14/2016,1647 S TEJON ST,Colorado Springs,CO,80906
