parentCompany,businessName,businessType,expires,street,city,state,zip
LUCERO MATTHEWLUCERO BOBBY JEAN,NAVAJO LIQUORS,Liquor Store (city), 11/12/2015,410 E MAIN ST,AGUILAR,CO,810200000,
RINGO STORES INC,RINGO'S DISCOUNT LIQUOR STORE INC,Liquor Store (city), 03/17/2016,213 EAST MAIN STREET,Aguilar,CO,81020,
MGD LIQUORS LLC,MGD LIQUORS,Liquor Store (city), 04/25/2016,102 DATE AVE,Akron,CO,80720,
STARLIN JERRY & JANET SCHOLES KAREN & ALLEN,THE GRASSHOPPER,Liquor Store (city), 09/14/2015,364 E FIRST ST,Akron,CO,807201506,
AIRPORT LIQUOR LLC,AIRPORT LIQUOR,Liquor Store (city), 07/01/2016,1619 STATE AVE,Alamosa,CO,81101,
A-O.K. LIQUORS INC,CHIEF LIQUOR,Liquor Store (city), 10/30/2015,1280 MAIN ST,Alamosa,CO,81101,
PS LIQUOR LLC,BEER KEG DEPOT,Liquor Store (city), 01/17/2016,603 DEL SOL DRIVE,Alamosa,CO,81101,
SLV WINE AND SPIRITS,TERRYS LIQUOR,Liquor Store (city), 09/30/2015,408 DENVER AVE,Alamosa,CO,811012657,
NAGRA LLC,DISCOUNT LIQUOR,Liquor Store (county), 09/24/2016,151 BROADWAY AVE,Alamosa,CO,81101,
GALLEGOS MELANIE R,HOOSIER DADDY LIQUORS,Liquor Store (city), 11/17/2015,17 S MAIN ST,ALMA,CO,80420,
TAYLOR PARK MARINA LTD,TAYLOR PARK MARINA,Liquor Store (county), 06/15/2016,21700 COUNTY RD #742,ALMONT,CO,81210,
LOYDE NEAL LLC,HELENS LIQUORS,Liquor Store (city), 02/09/2016,523 MAIN ST,ANTONITO,CO,81120,
VIGIL DELIA,VIGILS LIQUORS,Liquor Store (city), 11/01/2015,610 MAIN ST,Antonito,CO,811200000,
PIEDRA PEAK GENERAL STORE LLC,PIEDRA PEAK GENERAL STORE,Liquor Store (county), 05/01/2016,53 COUNTY ROAD 982,ARBOLES,CO,81121,
AIS LLC,SIMMS LIQUOR,Liquor Store (city), 08/10/2016,11651 W 64TH AVE UNIT E-6,ARVADA,CO,800044323,
ANMOL ENTERPRISES INC,TWO PONDS WINE & SPIRITS,Liquor Store (city), 08/16/2015,9969 W 80TH AVE,ARVADA,CO,800053912,
ARVADA LIQUOR MART INC,ARVADA LIQUOR MART,Liquor Store (city), 02/17/2016,9489 RALSTON RD,Arvada,CO,800022003,
COLORADO LIQUOR COMPANY INC,COSTCO LIQUORS,Liquor Store (city), 08/20/2016,5185 WADSWORTH BLVD,ARVADA,CO,800024617,
CRAZYHOUSE LLC,TOWN CENTER LIQUORS,Liquor Store (city), 07/09/2016,14455 W 64TH AVE,ARVADA,CO,80403,
CTS ENTERPRISESLLC,TRIANGLE LIQUORS,Liquor Store (city), 12/17/2015,9545 W 58TH AVE,ARVADA,CO,800022031,
GAGAN INC,ARVADA WINE AND SPIRITS,Liquor Store (city), 02/11/2016,6350 SHERIDAN BLVD SUITE 117 AND 118,Arvada,CO,80003,
GOLDEN CREEK LIQUORS LLC,ROSSI'S LIQUORS,Liquor Store (city), 02/14/2016,12399 W 64TH AVE,Arvada,CO,800044015,
H T & T LIQUORS INC,H T & T LIQUORS,Liquor Store (city), 03/10/2016,6415 SHERIDAN,Arvada,CO,800034749,
HAN KYE T,HIDDEN LAKE LIQUOR,Liquor Store (city), 09/10/2015,6790 SHERIDAN BLVD #B,Arvada,CO,800036300,
HGS ENTERPRISES INC,CORNERSTONE LIQUOR,Liquor Store (city), 11/24/2015,7355 RALSTON RD #R-500,Arvada,CO,800022574,
HILL TOP LIQUOR LLC,HILL TOP LIQUOR,Liquor Store (city), 12/10/2015,6390 WADSWORTH BLVD UNIT B,Arvada,CO,800034858,
LEE JONG KOOK,LAGUARDIA LIQUORS,Liquor Store (city), 08/04/2015,8008 CHASE DR,ARVADA,CO,800031806,
MAJESTIC LIQUOR LLC,MAJESTIC LIQUOR,Liquor Store (city), 03/10/2016,12385 W 58TH AVE,ARVADA,CO,800021210,
MH CORPORATION,LAKE ARBOR LIQUOR,Liquor Store (city), 03/26/2016,7517 & 7519 WEST 80TH AVE,ARVADA,CO,80003,
