parentCompany,businessName,businessType,expires,street,city,state,zip,Latitude,Longitude,Accuracy Score,Street,City,State,County,Zip
LUCERO MATTHEWLUCERO BOBBY JEAN,NAVAJO LIQUORS,Liquor Store (city), 11/12/2015,410 E MAIN ST,AGUILAR,CO,810200000,37.403129875,-104.65044625,1,410 E Main St,Aguilar,CO,Las Animas County,81020
RINGO STORES INC,RINGO'S DISCOUNT LIQUOR STORE INC,Liquor Store (city), 03/17/2016,213 EAST MAIN STREET,Aguilar,CO,81020,37.402355096774,-104.65308558065,1,213 E Main St,Aguilar,CO,Las Animas County,81020
MGD LIQUORS LLC,MGD LIQUORS,Liquor Store (city), 04/25/2016,102 DATE AVE,Akron,CO,80720,40.159207183673,-103.20732140816,1,102 Date Ave,Akron,CO,Washington County,80720
STARLIN JERRY & JANET SCHOLES KAREN & ALLEN,THE GRASSHOPPER,Liquor Store (city), 09/14/2015,364 E FIRST ST,Akron,CO,807201506,40.159090130435,-103.21642234783,0.9,364 Us Hwy,Akron,CO,Washington County,80720
AIRPORT LIQUOR LLC,AIRPORT LIQUOR,Liquor Store (city), 07/01/2016,1619 STATE AVE,Alamosa,CO,81101,37.456844893617,-105.86549234043,1,1619 State Ave,Alamosa,CO,Alamosa County,81101
A-O.K. LIQUORS INC,CHIEF LIQUOR,Liquor Store (city), 10/30/2015,1280 MAIN ST,Alamosa,CO,81101,37.468174,-105.875388,1,1280 Main St,Alamosa,CO,Alamosa County,81101
PS LIQUOR LLC,BEER KEG DEPOT,Liquor Store (city), 01/17/2016,603 DEL SOL DRIVE,Alamosa,CO,81101,37.479933,-105.790967,0.33,0,Alamosa,CO,Alamosa County,81101
SLV WINE AND SPIRITS,TERRYS LIQUOR,Liquor Store (city), 09/30/2015,408 DENVER AVE,Alamosa,CO,811012657,37.469192367347,-105.86212618367,1,408 Denver Ave,Alamosa,CO,Alamosa County,81101
NAGRA LLC,DISCOUNT LIQUOR,Liquor Store (county), 09/24/2016,151 BROADWAY AVE,Alamosa,CO,81101,37.471845734694,-105.85855795918,1,151 Broadway Ave,Alamosa,CO,Alamosa County,81101
GALLEGOS MELANIE R,HOOSIER DADDY LIQUORS,Liquor Store (city), 11/17/2015,17 S MAIN ST,ALMA,CO,80420,39.283269157895,-106.06223715789,1,17 S Main St,Alma,CO,Park County,80420
TAYLOR PARK MARINA LTD,TAYLOR PARK MARINA,Liquor Store (county), 06/15/2016,21700 COUNTY RD #742,ALMONT,CO,81210,38.820680008197,-106.57817727049,0.8,21700 Co Rd,Almont,CO,Gunnison County,81210
LOYDE NEAL LLC,HELENS LIQUORS,Liquor Store (city), 02/09/2016,523 MAIN ST,ANTONITO,CO,81120,37.080050888889,-106.00877005556,0.8,523 Main St,Antonito,CO,Conejos County,81120
VIGIL DELIA,VIGILS LIQUORS,Liquor Store (city), 11/01/2015,610 MAIN ST,Antonito,CO,811200000,37.077096652174,-106.00877147826,0.8,610 Main St,Antonito,CO,Conejos County,81120
PIEDRA PEAK GENERAL STORE LLC,PIEDRA PEAK GENERAL STORE,Liquor Store (county), 05/01/2016,53 COUNTY ROAD 982,ARBOLES,CO,81121,37.02128,-107.42494,0.33,0,Arboles,CO,Archuleta County,81121
AIS LLC,SIMMS LIQUOR,Liquor Store (city), 08/10/2016,11651 W 64TH AVE UNIT E-6,ARVADA,CO,800044323,39.812753487437,-105.12886591457,0.9,11651 Co Rd,Arvada,CO,Jefferson County,80004
ANMOL ENTERPRISES INC,TWO PONDS WINE & SPIRITS,Liquor Store (city), 08/16/2015,9969 W 80TH AVE,ARVADA,CO,800053912,39.84196666443,-105.1098954094,0.9,9969 80th Ave,Arvada,CO,Jefferson County,80005
ARVADA LIQUOR MART INC,ARVADA LIQUOR MART,Liquor Store (city), 02/17/2016,9489 RALSTON RD,Arvada,CO,800022003,39.802036087719,-105.10285277193,1,9489 Ralston Rd,Arvada,CO,Jefferson County,80002
COLORADO LIQUOR COMPANY INC,COSTCO LIQUORS,Liquor Store (city), 08/20/2016,5185 WADSWORTH BLVD,ARVADA,CO,800024617,39.790992428571,-105.08141071429,1,5185 Wadsworth Blvd,Arvada,CO,Jefferson County,80002
CRAZYHOUSE LLC,TOWN CENTER LIQUORS,Liquor Store (city), 07/09/2016,14455 W 64TH AVE,ARVADA,CO,80403,39.812501731618,-105.16081923529,0.7,14455 State Hwy,Arvada,CO,Jefferson County,80004
CTS ENTERPRISESLLC,TRIANGLE LIQUORS,Liquor Store (city), 12/17/2015,9545 W 58TH AVE,ARVADA,CO,800022031,39.801995315789,-105.10384357895,0.9,9545 Ralston Rd,Arvada,CO,Jefferson County,80002
GAGAN INC,ARVADA WINE AND SPIRITS,Liquor Store (city), 02/11/2016,6350 SHERIDAN BLVD SUITE 117 AND 118,Arvada,CO,80003,39.812013815385,-105.05324852308,0.9,6350 Sheridan Blvd,Arvada,CO,Jefferson County,80003
GOLDEN CREEK LIQUORS LLC,ROSSI'S LIQUORS,Liquor Store (city), 02/14/2016,12399 W 64TH AVE,Arvada,CO,800044015,39.812715,-105.137845,0.9,12399 Co Rd,Arvada,CO,Jefferson County,80004
